N,P,HASH,EXEC_TYPE,CHECKSUM,THROUGHPUT,PARTITION_TIME,GLOBAL_TIME
100000,32,mask,plain_vec,235082523872698469814010259685181055441,909090909.090909,0.00022000000000000001,1.20919
100000,32,mul,plain_vec,1054032439998832700510327897033488513465,425531914.89361697,0.00047000000000000004,1.2089399999999999
100000,64,mask,plain_vec,1469528380680817455410419583933167195345,800000000,0.00025000000000000001,1.20642
100000,64,mul,plain_vec,10422935700835635458386944809301826182,416666666.66666663,0.00048000000000000001,1.20536
100000,128,mask,plain_vec,1422156539266912553017727254989207274577,909090909.090909,0.00022000000000000001,1.22922
100000,128,mul,plain_vec,127005508186243874999480733202297359912,425531914.89361697,0.00047000000000000004,1.21109
100000,256,mask,plain_vec,1780086534370470530615510558714115420625,869565217.39130437,0.00023000000000000001,1.23211
100000,256,mul,plain_vec,18797238714820422893464853897147609950,416666666.66666663,0.00048000000000000001,1.21153
100000,512,mask,plain_vec,58615451481728545542137311502802293713,909090909.090909,0.00022000000000000001,1.2075400000000001
100000,512,mul,plain_vec,1815852179679158035012070653241180567263,434782608.69565219,0.00046000000000000001,1.20855
100000,1024,mask,plain_vec,222301358646950786615306328081102812625,869565217.39130437,0.00023000000000000001,1.2065600000000001
100000,1024,mul,plain_vec,516035856790967927810427131977049413319,425531914.89361697,0.00047000000000000004,1.21435
100000,2048,mask,plain_vec,14062927226461672218734288854767290833,869565217.39130437,0.00023000000000000001,1.21441
100000,2048,mul,plain_vec,170542378188597342203184426806742416745,416666666.66666663,0.00048000000000000001,1.2078100000000001
100000,4096,mask,plain_vec,36719737363845476108886993994216438225,869565217.39130437,0.00023000000000000001,1.2125999999999999
100000,4096,mul,plain_vec,1004773086262182910217672450953845022548,425531914.89361697,0.00047000000000000004,1.1820999999999999
1000000,16,mask,plain_vec,61874152993317525288842147303999724556,865800865.80086577,0.00231,1.26552
1000000,16,mul,plain_vec,13936846770681496935161975947541611687,413223140.49586773,0.0048400000000000006,1.2803599999999999
1000000,32,mask,plain_vec,1704355413127794140813038890483696085836,865800865.80086577,0.00231,1.2532700000000001
1000000,32,mul,plain_vec,80850822265937132794758985974616170035,420168067.22689074,0.0047600000000000003,1.2875700000000001
1000000,64,mask,plain_vec,113689191253475016001584193748754100620,873362445.41484702,0.0022900000000000004,1.24112
1000000,64,mul,plain_vec,147038390348713689956059741908334996911,419287211.74004191,0.0047699999999999999,1.23434
1000000,128,mask,plain_vec,439894099017306953617914517562725884044,826446280.99173546,0.0024200000000000003,1.25705
1000000,128,mul,plain_vec,3414338629257411113669987232253808556,421052631.57894737,0.0047499999999999999,1.2490699999999999
1000000,256,mask,plain_vec,159941088740229321921789418412183752716,881057268.72246706,0.0022699999999999999,1.24716
1000000,256,mul,plain_vec,4328118668070742066403024640602178217,420168067.22689074,0.0047600000000000003,1.2603599999999999
1000000,512,mask,plain_vec,766527569858792240010144027885537090316,851063829.78723407,0.0023500000000000001,1.31595
1000000,512,mul,plain_vec,155828822606029660595621095819214095338,420168067.22689074,0.0047600000000000003,1.2514799999999999
1000000,1024,mask,plain_vec,738072610196379798413962330925849929996,829875518.67219925,0.0024099999999999998,1.2960400000000001
1000000,1024,mul,plain_vec,93987111590631188903578680072796781313,418410041.84100425,0.0047799999999999995,1.2659199999999999
1000000,2048,mask,plain_vec,188010433862506544013296716459581072652,869565217.39130437,0.0023,1.24702
1000000,2048,mul,plain_vec,295646411675333570917385771089718110669,419287211.74004191,0.0047699999999999999,1.2517499999999999
1000000,4096,mask,plain_vec,9125499772873484768443977412051879180,843881856.54008436,0.0023700000000000001,1.2570300000000001
