[86/135] run=4/5 N=10000000 P=32 HASH=mul PARTITION_TIME[s]=0.01823 THROUGHPUT[elems/s]=1.09709e+09
[87/135] run=4/5 N=10000000 P=32 HASH=fmix64 PARTITION_TIME[s]=0.03738 THROUGHPUT[elems/s]=5.35045e+08
[88/135] run=4/5 N=10000000 P=64 HASH=mask PARTITION_TIME[s]=0.01813 THROUGHPUT[elems/s]=1.10314e+09
[89/135] run=4/5 N=10000000 P=64 HASH=mul PARTITION_TIME[s]=0.0182 THROUGHPUT[elems/s]=1.0989e+09
[90/135] run=4/5 N=10000000 P=64 HASH=fmix64 PARTITION_TIME[s]=0.03751 THROUGHPUT[elems/s]=5.33191e+08
[91/135] run=4/5 N=10000000 P=128 HASH=mask PARTITION_TIME[s]=0.0184 THROUGHPUT[elems/s]=1.08696e+09
[92/135] run=4/5 N=10000000 P=128 HASH=mul PARTITION_TIME[s]=0.01822 THROUGHPUT[elems/s]=1.09769e+09
[93/135] run=4/5 N=10000000 P=128 HASH=fmix64 PARTITION_TIME[s]=0.0377 THROUGHPUT[elems/s]=5.30504e+08
[94/135] run=4/5 N=10000000 P=256 HASH=mask PARTITION_TIME[s]=0.01834 THROUGHPUT[elems/s]=1.09051e+09
[95/135] run=4/5 N=10000000 P=256 HASH=mul PARTITION_TIME[s]=0.01818 THROUGHPUT[elems/s]=1.10011e+09
[96/135] run=4/5 N=10000000 P=256 HASH=fmix64 PARTITION_TIME[s]=0.03769 THROUGHPUT[elems/s]=5.30645e+08
[97/135] run=4/5 N=10000000 P=512 HASH=mask PARTITION_TIME[s]=0.01841 THROUGHPUT[elems/s]=1.08637e+09
[98/135] run=4/5 N=10000000 P=512 HASH=mul PARTITION_TIME[s]=0.01828 THROUGHPUT[elems/s]=1.09409e+09
[99/135] run=4/5 N=10000000 P=512 HASH=fmix64 PARTITION_TIME[s]=0.03743 THROUGHPUT[elems/s]=5.34331e+08
[100/135] run=4/5 N=10000000 P=1024 HASH=mask PARTITION_TIME[s]=0.01824 THROUGHPUT[elems/s]=1.09649e+09
[101/135] run=4/5 N=10000000 P=1024 HASH=mul PARTITION_TIME[s]=0.0182 THROUGHPUT[elems/s]=1.0989e+09
[102/135] run=4/5 N=10000000 P=1024 HASH=fmix64 PARTITION_TIME[s]=0.03771 THROUGHPUT[elems/s]=5.30363e+08
[103/135] run=4/5 N=10000000 P=2048 HASH=mask PARTITION_TIME[s]=0.01832 THROUGHPUT[elems/s]=1.0917e+09
[104/135] run=4/5 N=10000000 P=2048 HASH=mul PARTITION_TIME[s]=0.01803 THROUGHPUT[elems/s]=1.10926e+09
[105/135] run=4/5 N=10000000 P=2048 HASH=fmix64 PARTITION_TIME[s]=0.03745 THROUGHPUT[elems/s]=5.34045e+08
[106/135] run=4/5 N=10000000 P=4096 HASH=mask PARTITION_TIME[s]=0.01846 THROUGHPUT[elems/s]=1.08342e+09
[107/135] run=4/5 N=10000000 P=4096 HASH=mul PARTITION_TIME[s]=0.01828 THROUGHPUT[elems/s]=1.09409e+09
[108/135] run=4/5 N=10000000 P=4096 HASH=fmix64 PARTITION_TIME[s]=0.03768 THROUGHPUT[elems/s]=5.30786e+08
[109/135] run=5/5 N=10000000 P=16 HASH=mask PARTITION_TIME[s]=0.01827 THROUGHPUT[elems/s]=1.09469e+09
[110/135] run=5/5 N=10000000 P=16 HASH=mul PARTITION_TIME[s]=0.01822 THROUGHPUT[elems/s]=1.09769e+09
[111/135] run=5/5 N=10000000 P=16 HASH=fmix64 PARTITION_TIME[s]=0.03772 THROUGHPUT[elems/s]=5.30223e+08
[112/135] run=5/5 N=10000000 P=32 HASH=mask PARTITION_TIME[s]=0.01833 THROUGHPUT[elems/s]=1.09111e+09
[113/135] run=5/5 N=10000000 P=32 HASH=mul PARTITION_TIME[s]=0.01818 THROUGHPUT[elems/s]=1.10011e+09
[114/135] run=5/5 N=10000000 P=32 HASH=fmix64 PARTITION_TIME[s]=0.03772 THROUGHPUT[elems/s]=5.30223e+08
[115/135] run=5/5 N=10000000 P=64 HASH=mask PARTITION_TIME[s]=0.01834 THROUGHPUT[elems/s]=1.09051e+09
[116/135] run=5/5 N=10000000 P=64 HASH=mul PARTITION_TIME[s]=0.01834 THROUGHPUT[elems/s]=1.09051e+09
[117/135] run=5/5 N=10000000 P=64 HASH=fmix64 PARTITION_TIME[s]=0.03778 THROUGHPUT[elems/s]=5.29381e+08
[118/135] run=5/5 N=10000000 P=128 HASH=mask PARTITION_TIME[s]=0.01831 THROUGHPUT[elems/s]=1.0923e+09
[119/135] run=5/5 N=10000000 P=128 HASH=mul PARTITION_TIME[s]=0.01821 THROUGHPUT[elems/s]=1.0983e+09
[120/135] run=5/5 N=10000000 P=128 HASH=fmix64 PARTITION_TIME[s]=0.03769 THROUGHPUT[elems/s]=5.30645e+08
[121/135] run=5/5 N=10000000 P=256 HASH=mask PARTITION_TIME[s]=0.01838 THROUGHPUT[elems/s]=1.08814e+09
[122/135] run=5/5 N=10000000 P=256 HASH=mul PARTITION_TIME[s]=0.01818 THROUGHPUT[elems/s]=1.10011e+09
[123/135] run=5/5 N=10000000 P=256 HASH=fmix64 PARTITION_TIME[s]=0.03781 THROUGHPUT[elems/s]=5.28961e+08
[124/135] run=5/5 N=10000000 P=512 HASH=mask PARTITION_TIME[s]=0.01839 THROUGHPUT[elems/s]=1.08755e+09
[125/135] run=5/5 N=10000000 P=512 HASH=mul PARTITION_TIME[s]=0.01827 THROUGHPUT[elems/s]=1.09469e+09
[126/135] run=5/5 N=10000000 P=512 HASH=fmix64 PARTITION_TIME[s]=0.03771 THROUGHPUT[elems/s]=5.30363e+08
[127/135] run=5/5 N=10000000 P=1024 HASH=mask PARTITION_TIME[s]=0.01836 THROUGHPUT[elems/s]=1.08932e+09
[128/135] run=5/5 N=10000000 P=1024 HASH=mul PARTITION_TIME[s]=0.01826 THROUGHPUT[elems/s]=1.09529e+09
[129/135] run=5/5 N=10000000 P=1024 HASH=fmix64 PARTITION_TIME[s]=0.03769 THROUGHPUT[elems/s]=5.30645e+08
[130/135] run=5/5 N=10000000 P=2048 HASH=mask PARTITION_TIME[s]=0.01849 THROUGHPUT[elems/s]=1.08167e+09
[131/135] run=5/5 N=10000000 P=2048 HASH=mul PARTITION_TIME[s]=0.01813 THROUGHPUT[elems/s]=1.10314e+09
[132/135] run=5/5 N=10000000 P=2048 HASH=fmix64 PARTITION_TIME[s]=0.0377 THROUGHPUT[elems/s]=5.30504e+08
[133/135] run=5/5 N=10000000 P=4096 HASH=mask PARTITION_TIME[s]=0.01831 THROUGHPUT[elems/s]=1.0923e+09
[134/135] run=5/5 N=10000000 P=4096 HASH=mul PARTITION_TIME[s]=0.01826 THROUGHPUT[elems/s]=1.09529e+09
[135/135] run=5/5 N=10000000 P=4096 HASH=fmix64 PARTITION_TIME[s]=0.0377 THROUGHPUT[elems/s]=5.30504e+08

All jobs submitted.
